,,category,sub-category,trope,definition,hypothesis_template,open_question,boolean_question
13,2,Role Interaction,Action-T,"\\""The Reason You Suck\\"" Speech",One character delivers a speech to another character on all the reasons why that other character sucks or is a horrible person.,[blank] gives a speech to someone about why they are bad.,Who gives a speech to someone about why they are bad?,Does someone give a speech to someone else about why they are bad?
14,3,Role Interaction,Action-T,Tempting Fate,"Tempting Fate is when a character says something that dares the universe into making things miserable for them, and the universe takes them up on the challenge.",[blank] is a miserable suggestion that then happens.,What miserable suggestion then happens?,Does some miserable suggestion then happen?
15,4,Role Interaction,Action-T,Disproportionate Retribution,"the situation where a person let the opponent know that if they so much as sneeze on someone you protect, it will cost them a limb.",[blank] is a petty offense that results in severe punishment.,What petty offense receives severe punishment?,Does some petty offense receive severe punishment?
16,5,Role Interaction,Action-T,Badass Boast,"The character has got to be pretty impressive to be able to make this kind of boast convincingly, though sometimes a weaker character will bluff like this.",The boasts of [blank] are convincingly impressive?,Whose boasts are convincingly impressive?,Is someone's boasts convincingly impressive?
17,6,Role Interaction,Action-T,Groin Attack,Groin attack,[blank] is attacked in the groin.,Who is attacked in the groin?,Is someone attacked in the groin?
18,7,Role Interaction,Action-T,Roaring Rampage of Revenge,The Roaring Rampage of Revenge differs from the standard Revenge plot in that our hero dispenses with the Machiavellian plotting that would define a classic revenge tale and goes straight for the bloodshed.,[blank] gets revenge in a violent rampage.,Who gets revenge in a violent rampage?,Does someone get revenge in a violent rampage?
19,1,Role Interaction,Action-I,Big Damn Heroes,"Any time the heroes/anti heroes get to save the day in a big, awesome manner.",[blank] saves the day in  big way.,Who saves the day in a big way?,Does someone save the day in a big way?
20,2,Role Interaction,Action-I,Heroic Sacrifice,"A character saves another/others from harm and is killed, crippled, or maimed as a result.",[blank] is killed or crippled while saving someone.,Who is killed or crippled while saving someone?,Is someone killed or crippled while saving someone?
21,3,Role Interaction,Action-I,"Screw This, I'm Outta Here!","Screw you guys, I'm going home.",[blank] decides to leave during a bad situation.,Who decides to leave during a bad situation?,Does someone decide to leave during a bad situation?
22,4,Role Interaction,Action-I,Kick the Dog,"When a character does something evil for no apparent gain, because the author wants to demonstrate that he's not a nice guy and shift audience sympathy away from him.",[blank] does an evil act for no gain.,Who does an evil act for no gain?,Does someone perform an evil act for no gain?
23,5,Role Interaction,Action-I,Pet the Dog,"Show the nasty old crank petting a dog, and you show the audience, aw shucks, they're not that bad of a person after all.",The villain is humanized by doing the kind act of [blank].,What kind act humanizes the villain?,Does some kind act humanize the villain?
24,6,Role Interaction,Action-I,Villainous Breakdown,The tendency of relatively calm and composed villains to lose their cool over the course of the story.,[blank] is a calm villain who loses their composure.,Who is a calm villain that eventually loses their composure?,Is someone a calm villain that eventually loses their composure?
25,7,Role Interaction,Action-I,Precision F-Strike,"When a character suddenly swears in an uncharacteristically strong manner, or when a swear is unexpectedly used in a work with mild language.","Uncharacteristically, [blank] swears.",Who swears uncharacteristically?,Does someone swear uncharacteristically?
26,8,Role Interaction,Action-I,Cluster F-Bomb,Lots of swearing occur.,A lot of swearing occurs.,[ENTAIL],Does a lot of swearing occur?
27,9,Role Interaction,Action-I,Jerkass Has a Point,When a jerkass is right.,[blank] is obnoxious but makes a valid point.,Who is obnoxious but makes a valid point?,Is someone obnoxious but makes a valid point?
28,10,Role Interaction,Action-I,Idiot Ball,"A moment where a character's stupidity fuels an episode, or a small plot line.",[blank] is normally competent but behaves incompetently.,Who is normally competent but behaves incompetently?,Is someone normally competent but behaves incompetently?
29,11,Role Interaction,Action-I,Batman Gambit,A plan that revolves entirely around people doing exactly what you'd expect them to do.,[blank] is a plan that revolves around people behaving as they normally do.,What plan revolves around people behaving as they normally do?,Is there a plan revolving around people behaving as they normally do?
1,1,Situation,Entity,Police are Useless,"Whenever someone in film or on TV reports a murder, or a monster, or a stalker or whatever, the police come as close to ignoring them as procedure will allow.",The security authorities do not help with [blank].,What problem do the security authorities fail to help with?,Is there a problem that the security authorities fail to help with?
2,2,Situation,Entity,The Dragon,"There is almost always someone, person or monster, The Hero has to get past to get at the Big Bad.",[blank] is the second in command to the villain?,Who is the second in command to the villain?,Is someone the second in command to the villain?
3,3,Situation,Entity,Cool Car,The hero's ride has to be just as unique and awesome as the hero is. Enter a Cool Car!,[blank] has a cool car.,Who is the hero with a cool car?,Does the hero have a cool car?
4,4,Situation,Entity,Body Horror,"This is any form of horror or squickiness involving body parts, parasitism, disfigurement, mutation, or unsettling bodily configuration.",[blank] is an act of horror involving body parts.,What horror act involves body parts?,Is there a horror act involving body parts?
5,1,Situation,Concept,The Reveal,"A character is revealed as another character's father, a god, or secret suitor or arch nemesis in disguise.",[blank] is revealed and creates tension.,What new information revealed creates tension?,Does some new information revealed create tension?
6,2,Situation,Concept,Curb-Stomp Battle,"A fight that's extremely one-sided, where one side just absolutely trashes the other with little-to-no effort",[blank] defeats an opponent with barely any effort?,Who defeats an opponent with barely any effort?,Does someone defeat an opponent with barely any effort?
7,3,Situation,Concept,Cassandra Truth,"Sometimes people just won't believe you even though you are telling the truth, because the truth sounds insane.",[blank] is told the truth but dismisses it.,Who is told the truth but dismisses it?,Is someone told the truth but dismisses it?
8,4,Situation,Concept,Blatant Lies,A glaringly obvious lie.,[blank] is an obvious lie.,What lie is obvious?,Is some lie obvious?
9,5,Situation,Concept,Crapsack World,A Crapsack World is a horrible setting of the world where it's dark and hopeless,The world is dark and hopeless because [blank].,What makes the world dark and hopeless?,Is the world dark and hopeless?
10,1,Situation,Effect,Comically Missing the Point,A character completely misses a really obvious point for comic effect.,[blank] misses an obvious point to comic effect?,Who misses an obvious point to comic effect?,Does someone miss an obvious point to comic effect?
11,2,Situation,Effect,Fanservice,The use of sex or sexualized situations to reward or entice viewers.,[blank] is a sexual situation that entices.,What sexualized situation entices?,Does some sexualized situation entice?
12,3,Situation,Effect,Fan Disservice,"Fan Disservice looks like regular garden variety Fanservice, except that the creators intentionally use the circumstances around it to make the 
 scene outright creepy or disgusting.",[blank] is a sexual situation that is disgusting.,What sexualized situation is disgusting?,Is there a disgusting sexualized situation?
13,4,Situation,Effect,Brick Joke,When two seemingly unrelated jokes work together to create a comedic effect.,[blank] is a joke set up with a punchline delivered much later.,What joke set up has a punchline much later?,Is there a joke set up with a much later punchline?
14,5,Situation,Effect,Hypocritical Humor,A type of gag in which a character's actions or words contradict each other and this is Played for Laughs.,[blank] is funny because of hypocrisy.,What hypocrisy is funny?,Is some hypocrisy funny?
15,6,Situation,Effect,Does This Remind You of Anything?,"Any situation which is made, sometimes for comic effect, sometimes for dramatic effect, to look like another situation.",[blank] looks like another situation.,What situation looks like another situation?,Does some situation look like a different situation?
16,7,Situation,Effect,Black Comedy,"A sub-genre of comedy and satire where topics and events that are usually treated seriously are treated in a satirical manner, while still being  portrayed as the negative events that they are.",[blank] is a serious and horrible thing that is funny.,What serious and horrible things are funny?,Are there serious and horrible things that are funny?
17,8,Situation,Effect,Irony,The intended meaning is an inversion of the plain meaning.,[blank] is ironic.,What part is ironic?,Is some part ironic?
18,9,Situation,Effect,Exact Words,"When the exact wording of a rule, promise, prophecy, etc. matters more than the spirit of the wording, it's an Exact Words situation.",The exact wording of [blank] matters more than the sentiment.,What exact wording matters more than the sentiment?,Does some exact wording matter more than the sentiment?
19,10,Situation,Effect,Stealth Pun,"The writers put in a joke (almost always a pun), but never make or put in a Punch Line or explicit statement, hiding it in the set up of the joke.",[blank] is a subtle pun.,What is a subtle pun?,Is there a subtle pun?
1,1,Story Line,Ending,Bittersweet Ending,"When victory came at a harsh price, when, for whatever reason, the heroes cannot fully enjoy the reward of their actions, when some irrevocable loss has happened during the course of the events, and nothing will ever be the same again.",[blank] is a sad part of the overall happy ending.,What is sad in the happy ending?,Is the ending both happy and sad?
2,2,Story Line,Ending,Karma Houdini,"The character has done a number of things that deserve a karmic comeuppance, most importantly things that caused harm to the innocent. But when the time comes for the hammer to fall, that's not what happens. At least, not on them. They don\t get what they deserve.",[blank] is not punished for their bad behaviour.,Who is not punished for their bad behaviour?,Is someone not punished for their bad behaviour?
3,3,Story Line,Ending,Downer Ending,A finale to a movie that ends things in a way that varies from sad to tragic.,[blank] makes for a sad ending.,What makes the ending sad?,Is the ending sad?
4,4,Story Line,Ending,Laser-Guided Karma,"If you mistreat the people and things around you, karma will strike you down.",[blank] does bad things and then has bad things happen to them.,Who does bad things and then has bad things happen to them?,Does someone do bad things and then has bad things happen to them?
5,5,Story Line,Ending,Earn Your Happy Ending,"A cast of characters in a story go through a lot more hardship, anguish and grief than is really necessary. In the end, however, you see them get 
 their happily-ever-after.",[blank] goes through lots of hardship but gets a happy ending.,Who goes through lots of hardship but gets a happy ending?,Does someone go through lots of hardship but gets a happy ending?
6,6,Story Line,Ending,Karmic Death,"When the villain dies in a manner that is completely their own fault. Or, at least, obviously not the hero's.",The villain [blank] dies as they deserve.,Who is a villain that dies deservedly?,Does a villain die deservedly?
7,1,Story Line,Turning,"Nice Job Breaking It, Hero!","The hero has accomplished their goal, but it turns out that by the very act of success, they've unwittingly made things worse.",The hero successfully accomplishes [blank] but it makes things worse.,What goal does the hero accomplish that makes things worse?,Is there a goal the hero accomplishes that makes things worse?
8,2,Story Line,Turning,"My God, What Have I Done?","Well-intentioned but misguided character (very likely a Tragic Hero, a Tragic Villain or Anti-Villain) comes to realize that his actions have caused incredible damage, physical pain, emotional pain, or even loss of life.",[blank] realizes their well-intentioned actions caused damage or pain.,Who realizes that their well-intended actions caused damage or pain?,Does someone realize their well-intended actions caused damage or pain?
9,3,Story Line,Turning,"What the Hell, Hero?","When characters In-Universe call out one of the heroes for doing something clearly unheroic, if not outright heinous.",[blank] calls out a hero for doing something unheroic.,Who calls out a hero for doing something unheroic?,Does someone call out a hero for doing something unheroic?
10,4,Story Line,Turning,Hope Spot,"The Protagonist is about to face utter defeat. Suddenly, he finds a glimmer of hope what have you only to be crushed cruelly by the bad guys returning in force.",The hopefull moment [blank] happens before the hero is crushed by the villain.,What moment of hope happens before the hero is crushed by the villain?,Does a moment of hope happen before the hero is crushed by the villain?
11,5,Story Line,Turning,Heel Face Turn,When a bad guy turns good.,[blank] is a bad guy who turns good.,Who is a bad guy who turns good?,Is someone a bad guy who turns good?
12,6,Story Line,Turning,Took a Level in Badass,A charcter who is transformed into someone stronger and tougher that the viewer almost can't recognize him.,"Previously non-threatening, [blank] becomes stronger and tougher.",Who becomes stronger and tougher but was previously non-threatening?,Does someone become stronger and tougher who was previously non-threatening?
13,1,Story Line,Foreshadow,Chekhov's Gun,An insignificant object that later turns out to be important.,[blank] seems insignificant but later turns out to be important.,What object seems insignificant but later turns out to be important?,Does some object seem insignificant but later turns out to be important?
14,2,Story Line,Foreshadow,Foreshadowing,A clue or allusion embedded in the narrative that predicts some later event or revelation.,[blank] is foreshadowing.,What is foreshadowing?,Is there foreshadowing?
15,3,Story Line,Foreshadow,Chekhov's Skill,"Training in any kind of skill, ability, or knowledge that will likely later come in handy.",[blank] training comes in handy later.,What training comes in handy later?,Does some training come in handy later?
16,4,Story Line,Foreshadow,Chekhov's Gunman,"Any character who is innocuously and unimportantly introduced to the viewer, but who later proves to be important by the end of the episode.",[blank] seems insignificant but later turns out to be important.,Who seems like a minor character but turns out to be important?,Does a seemingly minor character turn out to be important?
17,5,Story Line,Foreshadow,Red Herring,A clue that leads in the wrong direction.,[blank] is a purposely misleading clue.,What is a purposely misleading clue?,Is there a purposely misleading clue?
18,1,Story Line,Echo,Ironic Echo,"When a character repeats a comment they received in a different situation, giving it a flipped or surprising new meaning.",[blank] is a comment repeated in a different situation giving it new meaning.,What comment is repeated in a different situation giving it new meaning?,Is some comment repeated in a different situation giving it new meaning?
19,2,Story Line,Echo,Hoist by His Own Petard,The villain's own weapon or malicious plan is the cause of their downfall and/or death.,The villain's [blank] backfires on them.,What villain's weapon or plan backfires on them?,Does a villain's weapon or plan backfire on them?
20,3,Story Line,Echo,Meaningful Echo,"It occurs when characters, in their usual way, say things to one another, and repeat it later on to give extra meaning.",[blank] is repeated to enhance the meaning.,What comment is repeated to enhance the meaning?,Is a comment repeated to enhance it's meaning?
21,4,Story Line,Echo,Freudian Excuse,"The villain had an abusive and particularly violent childhood (such as Abusive Parents, being bullied by peers, etc.), making them insane and warping their perception on the universe",The villain [blank] had an abusive childhood.,Who is the villain with an abusive childhood?,Is someone a villain with an abusive childhood?
